Word,Frequency,Frequency(%)
word,7,4.242424242424243
String,6,3.6363636363636362
public,6,3.6363636363636362
wordMap,6,3.6363636363636362
Integer,5,3.0303030303030303
Map,5,3.0303030303030303
e,4,2.4242424242424243
key,4,2.4242424242424243
new,4,2.4242424242424243
reader,4,2.4242424242424243
wordCount,4,2.4242424242424243
1,3,1.8181818181818181
Entry,3,1.8181818181818181
c,3,1.8181818181818181
character,3,1.8181818181818181
if,3,1.8181818181818181
import,3,1.8181818181818181
int,3,1.8181818181818181
java,3,1.8181818181818181
void,3,1.8181818181818181
0,2,1.2121212121212122
Collectors,2,1.2121212121212122
IOException,2,1.2121212121212122
Reader,2,1.2121212121212122
StringBuilder,2,1.2121212121212122
catch,2,1.2121212121212122
char,2,1.2121212121212122
e1,2,1.2121212121212122
inputFileName,2,1.2121212121212122
inputStream,2,1.2121212121212122
isEmpty,2,1.2121212121212122
merge,2,1.2121212121212122
private,2,1.2121212121212122
readData,2,1.2121212121212122
return,2,1.2121212121212122
stream,2,1.2121212121212122
sum,2,1.2121212121212122
toString,2,1.2121212121212122
try,2,1.2121212121212122
util,2,1.2121212121212122
while,2,1.2121212121212122
Character,1,0.6060606060606061
Error,1,0.6060606060606061
FileData,1,0.6060606060606061
InputStream,1,0.6060606060606061
InputStreamReader,1,0.6060606060606061
LinkedHashMap,1,0.6060606060606061
System,1,0.6060606060606061
TreeMap,1,0.6060606060606061
append,1,0.6060606060606061
class,1,0.6060606060606061
code,1,0.6060606060606061
collect,1,0.6060606060606061
comparingByValue,1,0.6060606060606061
createMap,1,0.6060606060606061
e2,1,0.6060606060606061
else,1,0.6060606060606061
entrySet,1,0.6060606060606061
err,1,0.6060606060606061
file,1,0.6060606060606061
final,1,0.6060606060606061
getClass,1,0.6060606060606061
getClassLoader,1,0.6060606060606061
getKey,1,0.6060606060606061
getLocalizedMessage,1,0.6060606060606061
getResourceAsStream,1,0.6060606060606061
getValue,1,0.6060606060606061
getWordCount,1,0.6060606060606061
getWordMap,1,0.6060606060606061
io,1,0.6060606060606061
isLetterOrDigit,1,0.6060606060606061
package,1,0.6060606060606061
printStackTrace,1,0.6060606060606061
println,1,0.6060606060606061
read,1,0.6060606060606061
reading,1,0.6060606060606061
resource,1,0.6060606060606061
reversed,1,0.6060606060606061
setLength,1,0.6060606060606061
sortMap,1,0.6060606060606061
sorted,1,0.6060606060606061
toMap,1,0.6060606060606061
